期号,first1,first2,first3,first4,first5,last1,last2,一等奖注数,一等奖奖金(元),二等奖注数,二等奖奖金(元),销售额(元),奖池奖金（元）,开奖日期,1~2,2~3,3~4,4~5,last1~last2
19148,3,4,7,11,30,8,9,6,18000000.0,126,215499.0,289764338,1357789883.69,2019-12-25,1,3,4,19,1
19147,9,12,19,22,33,7,8,7,17223670.0,132,195589.0,291104886,1365277988.01,2019-12-23,3,7,3,11,1
19146,10,11,26,33,34,1,6,28,12054873.0,126,286419.0,314007833,1381880354.85,2019-12-21,1,15,7,1,5
19145,5,9,19,22,32,3,5,8,18000000.0,257,416599.0,296865423,1484740051.76,2019-12-18,4,10,3,10,2
19144,2,5,20,28,31,2,11,7,18000000.0,169,396347.0,293207584,1542864127.46,2019-12-16,3,15,8,3,9
19143,4,22,23,24,32,6,12,5,10000000.0,120,1183620.0,319892573,1598566973.3,2019-12-14,18,1,1,8,6
19142,3,4,26,29,33,6,7,5,18000000.0,94,1270220.0,299921169,1627275280.73,2019-12-11,1,22,3,4,1
19141,2,10,20,21,35,1,12,3,10000000.0,166,680850.0,300500952,1655481325.91,2019-12-09,8,10,1,14,11
19140,3,7,8,25,27,3,5,8,18000000.0,153,602699.0,316440627,1668432904.08,2019-12-07,4,1,17,2,2
19139,1,5,7,8,11,6,10,9,18000000.0,229,316384.0,289227664,1732644632.39,2019-12-04,4,2,1,3,4
19138,4,6,7,20,29,2,4,2,10000000.0,192,574704.0,292541823,1807797395.91,2019-12-02,2,1,13,9,2
19137,3,5,12,13,26,7,12,4,10000000.0,240,401106.0,312773222,1811011407.29,2019-11-30,2,7,1,13,5
19136,3,16,20,26,29,3,9,14,18000000.0,145,656960.0,286999222,1836618362.96,2019-11-27,13,4,6,3,6
19135,4,5,19,25,26,1,11,5,18000000.0,122,980245.0,285312173,1952350514.03,2019-11-25,1,14,6,1,10
19134,5,6,7,14,17,10,11,5,18000000.0,163,745264.0,315940098,1982686527.08,2019-11-23,1,1,7,3,1
19133,3,12,24,27,34,1,12,4,18000000.0,109,1160872.0,307662290,2012422203.42,2019-11-20,9,12,3,7,11
19132,3,5,6,13,18,10,12,6,18000000.0,140,935625.0,302574925,2031322367.26,2019-11-18,2,1,7,5,2
19131,5,6,14,27,29,6,10,3,10000000.0,138,939835.0,329976108,2069940752.64,2019-11-16,1,8,13,2,4
19130,1,13,20,21,26,4,10,3,10000000.0,133,1002380.0,303550489,2080589741.2,2019-11-13,12,7,1,5,6
19129,10,13,18,23,30,6,12,6,10000000.0,216,441630.0,295027665,2091270342.29,2019-11-11,3,5,5,7,6
19128,20,21,25,34,35,3,12,2,10000000.0,117,1258997.0,322813843,2137001004.6,2019-11-09,1,4,9,1,9
19127,4,7,8,11,16,9,11,6,18000000.0,155,678814.0,300600530,2135181960.52,2019-11-06,3,1,3,5,2
19126,5,9,16,18,30,4,7,13,18000000.0,195,370740.0,276082640,2177652383.89,2019-11-04,4,7,2,12,3
19125,5,8,9,14,34,2,5,5,18000000.0,87,1360177.0,298679570,2290847002.8,2019-11-02,3,1,5,20,3
19124,7,17,26,27,30,6,12,2,10000000.0,138,744210.0,275959410,2320815917.35,2019-10-30,10,9,1,3,6
19123,3,13,15,26,30,5,12,8,18000000.0,129,683814.0,273397306,2325632751.35,2019-10-28,10,2,11,4,7
19122,5,19,25,31,33,10,11,2,18000000.0,80,1441243.0,289532078,2388431796.56,2019-10-26,14,6,6,2,1
19121,1,2,3,7,17,4,10,5,18000000.0,99,1191349.0,276665665,2389042428.25,2019-10-23,1,1,4,10,6
19120,6,15,17,22,25,1,9,5,18000000.0,130,751779.0,275763665,2417531958.16,2019-10-21,9,2,5,3,8
19119,3,6,9,23,34,2,11,8,18000000.0,108,1101407.0,296906555,2450995410.67,2019-10-19,3,3,14,11,9
19118,2,3,13,19,26,2,3,2,10000000.0,133,731644.0,272734633,2505219108.84,2019-10-16,1,10,6,7,1
19117,1,18,21,25,35,7,8,5,18000000.0,83,1452254.0,271077215,2510705015.8,2019-10-14,17,3,4,10,1
19116,2,10,16,21,23,2,12,6,18000000.0,96,1387222.0,297819968,2540591128.72,2019-10-12,8,6,5,2,10
19115,1,18,21,28,32,5,12,6,10000000.0,127,898162.0,286493206,2576114778.47,2019-10-09,17,3,7,4,7
19114,3,5,7,20,23,4,11,3,10000000.0,96,1278252.0,293032964,2618860320.16,2019-09-30,2,2,13,3,7
19113,3,11,27,34,35,1,2,3,18000000.0,133,1116046.0,311100525,2630473137.64,2019-09-28,8,16,7,1,1
19112,3,10,16,21,33,5,6,15,18000000.0,802,80078.0,280910162,2636508288.74,2019-09-25,7,6,5,12,1
19111,6,15,20,23,27,8,10,4,10000000.0,114,941794.0,278838967,2773019554.68,2019-09-23,9,5,3,4,2
19110,1,19,23,24,30,4,5,3,10000000.0,114,1126303.0,304148169,2796874880.24,2019-09-21,18,4,1,6,1
19109,2,7,8,20,25,11,12,2,18000000.0,124,809170.0,280419217,2807779066.62,2019-09-18,5,1,12,5,1
19108,24,27,28,31,34,4,8,2,10000000.0,78,1473102.0,284940682,2810944267.23,2019-09-16,3,1,3,3,4
19107,5,9,19,27,35,2,3,5,18000000.0,240,355469.0,293549724,2814001475.61,2019-09-14,4,10,8,8,1
19106,5,8,10,32,35,2,10,2,18000000.0,130,930648.0,277501958,2849290614.86,2019-09-11,3,2,22,3,8
19105,1,4,9,14,17,1,6,2,10000000.0,185,515206.0,276792452,2849032904.09,2019-09-09,3,5,5,3,5
19104,2,7,19,22,28,3,5,3,10000000.0,242,503656.0,307889648,2854646726.46,2019-09-07,5,12,3,6,2
19103,5,12,22,27,32,4,7,12,18000000.0,301,208447.0,282169207,2866542333.01,2019-09-04,7,10,5,5,3
19102,5,10,15,19,31,3,6,1,10000000.0,245,429334.0,294439142,2971122369.4,2019-09-02,5,5,4,12,3
19101,5,11,18,19,27,5,6,6,10000000.0,335,237594.0,317232101,2965514601.49,2019-08-31,6,7,1,8,1
19100,5,8,12,19,21,6,11,21,18000000.0,309,175026.0,285699001,3013571194.3,2019-08-28,3,4,7,2,5
19099,4,6,18,27,33,7,9,23,18000000.0,470,109497.0,264966797,3199540847.69,2019-08-26,2,12,9,6,2
19098,13,15,17,19,22,3,4,11,18000000.0,109,1010865.0,283264604,3413905650.77,2019-08-24,2,2,2,3,1
19097,10,17,20,30,35,10,12,4,18000000.0,72,1683149.0,265934781,3499337220.66,2019-08-21,7,3,10,5,2
19096,2,12,22,23,27,2,6,2,18000000.0,128,950011.0,264716811,3519455538.67,2019-08-19,10,10,1,4,4
19095,3,12,17,19,31,2,6,11,18000000.0,159,691025.0,285599790,3519353885.34,2019-08-17,9,5,2,12,4
19094,1,12,14,26,27,7,9,1,10000000.0,80,1416367.0,268760225,3605111819.48,2019-08-14,11,2,12,1,2
19093,16,17,26,29,35,1,7,11,18000000.0,140,512235.0,263591081,3598377683.32,2019-08-12,1,9,3,6,6
19092,2,11,15,27,30,2,5,5,18000000.0,152,761371.0,282457933,3693574033.39,2019-08-10,9,4,12,3,3
19091,4,13,20,26,28,3,12,1,10000000.0,92,1316917.0,269521488,3724322762.61,2019-08-07,9,7,6,2,9
19090,13,19,28,30,33,2,12,2,10000000.0,59,1903163.0,267395452,3716328636.1,2019-08-05,6,9,2,3,10
19089,9,14,18,33,34,3,12,6,18000000.0,126,1106076.0,297660456,3719449575.77,2019-08-03,5,4,15,1,9
19088,1,5,18,27,33,6,8,8,18000000.0,99,1129444.0,270234407,3755102164.41,2019-07-31,4,13,9,6,2
19087,5,6,18,19,27,7,12,10,10000000.0,191,406045.0,265658108,3816395392.04,2019-07-29,1,12,1,8,5
19086,5,15,16,28,31,2,7,17,18000000.0,336,186768.0,288257269,3904840978.2,2019-07-27,10,1,12,3,5
19085,4,5,6,15,26,8,11,4,18000000.0,114,793810.0,266144001,4061417388.9,2019-07-24,1,1,9,11,3
19084,12,23,25,34,35,1,7,3,18000000.0,99,1150362.0,267484415,4085660246.49,2019-07-22,11,2,9,1,6
19083,17,24,26,28,32,7,9,4,18000000.0,128,765768.0,292813014,4096211433.05,2019-07-20,7,2,2,4,2
19082,6,18,20,21,31,3,4,9,18000000.0,106,1100260.0,271428141,4117332392.64,2019-07-17,12,2,1,10,1
